Date,Country,Price in US Dollars
2004-05-01,Norway,5.183162751
2004-05-01,New Zealand,2.652439024
2004-05-01,Pakistan,1.904432133
2004-05-01,Peru,2.575931232
2004-05-01,Philippines,1.234347048
2004-05-01,Poland,1.627906977
2004-05-01,Russia,1.448275862
2004-05-01,Saudi Arabia,0.6399658685
2004-05-01,Singapore,1.929824561
2004-05-01,Sweden,3.94218134
2004-05-01,Thailand,1.446078431
2004-05-01,Turkey,2.580013063
2004-05-01,Taiwan,2.245508982
2004-05-01,Ukraine,1.359842446
2004-05-01,Uruguay,1.002185976
2004-05-01,United States,2.9
2004-05-01,South Africa,1.861861862
2005-06-01,UAE,2.450646698
2005-06-01,Argentina,1.639627201
2005-06-01,Australia,2.497118709
2005-06-01,Brazil,2.393703343
2005-06-01,Canada,2.625260125
2005-06-01,Switzerland,5.0501002
2005-06-01,Chile,2.531859229
2005-06-01,China,1.268667537
2005-06-01,Colombia,2.792456073
2005-06-01,Costa Rica,2.377445824
2005-06-01,Czech Republic,2.299019188
2005-06-01,Denmark,4.575659142
2005-06-01,Egypt,1.551724138
2005-06-01,Euro area,3.583131998
2005-06-01,Britain,3.440400003
2005-06-01,Hong Kong,1.542277687
2005-06-01,Hungary,2.602593755
2005-06-01,Indonesia,1.529596647
2005-06-01,Japan,2.342688469
2005-06-01,South Korea,2.486325211
2005-06-01,Sri Lanka,1.75096303
2005-06-01,Mexico,2.576489533
2005-06-01,Malaysia,1.381578947
2005-06-01,Norway,6.06286727
2005-06-01,New Zealand,3.173358055
2005-06-01,Pakistan,2.18047635
2005-06-01,Peru,2.762244208
2005-06-01,Philippines,1.466544455
2005-06-01,Poland,1.963983563
2005-06-01,Russia,1.478586893
2005-06-01,Saudi Arabia,2.399936002
2005-06-01,Singapore,2.167760583
2005-06-01,Sweden,4.166554663
2005-06-01,Thailand,1.4803849
2005-06-01,Turkey,2.92184076
2005-06-01,Taiwan,2.405773857
2005-06-01,Ukraine,1.432806324
2005-06-01,Uruguay,1.823834197
2005-06-01,United States,3.06
2005-06-01,South Africa,2.098312325
2006-01-01,Argentina,1.550362295
2006-01-01,Australia,2.442140066
2006-01-01,Brazil,2.741543224
2006-01-01,Canada,3.007518797
2006-01-01,Switzerland,4.931120852
2006-01-01,Chile,2.984218077
2006-01-01,China,1.302067187
2006-01-01,Czech Republic,2.600943891
2006-01-01,Denmark,4.492544804
2006-01-01,Egypt,1.611498258
2006-01-01,Euro area,3.513825
2006-01-01,Britain,3.316131998
2006-01-01,Hong Kong,1.548147384
2006-01-01,Hungary,2.705889175
2006-01-01,Indonesia,1.543340381
2006-01-01,Japan,2.187130922
2006-01-01,South Korea,2.557675584
2006-01-01,Mexico,2.655916528
2006-01-01,Malaysia,1.46713615
2006-01-01,New Zealand,3.075965992
2006-01-01,Peru,2.756819501
2006-01-01,Philippines,1.559528338
2006-01-01,Poland,2.086610382
2006-01-01,Russia,1.604464597
2006-01-01,Singapore,2.20143093
2006-01-01,Sweden,4.279101129
2006-01-01,Thailand,1.50924412
2006-01-01,Turkey,3.067714179
2006-01-01,Taiwan,2.347454577
2006-01-01,United States,3.15
2006-01-01,South Africa,2.294294689
2006-05-01,UAE,2.450579971
2006-05-01,Argentina,2.290201211
2006-05-01,Australia,2.438969479
2006-05-01,Brazil,2.777175092
2006-05-01,Canada,3.141594895
2006-05-01,Switzerland,5.21156471
2006-05-01,Chile,2.943673932
2006-05-01,China,1.308248193
2006-05-01,Colombia,2.596261384
2006-05-01,Costa Rica,2.217708303
2006-05-01,Czech Republic,2.671002994
2006-05-01,Denmark,4.769475358
2006-05-01,Egypt,1.646233159
2006-05-01,Euro area,3.766916497
2006-05-01,Britain,3.647976002
2006-05-01,Hong Kong,1.547728064
2006-05-01,Hungary,2.713909367
2006-05-01,Indonesia,1.565683646
2006-05-01,Japan,2.230052183
2006-05-01,South Korea,2.624947501
2006-05-01,Sri Lanka,1.845466466
2006-05-01,Mexico,2.565667826
2006-05-01,Malaysia,1.515360242
2006-05-01,Norway,7.046523442
2006-05-01,New Zealand,2.745202065
2006-05-01,Pakistan,2.164682374
2006-05-01,Peru,2.913216805
2006-05-01,Philippines,1.6152019
2006-05-01,Poland,2.097349273
2006-05-01,Russia,1.773590134
2006-05-01,Saudi Arabia,2.400640171
2006-05-01,Singapore,2.268002268
2006-05-01,Sweden,4.530135698
2006-05-01,Thailand,1.560671089
2006-05-01,Turkey,2.724618878
2006-05-01,Taiwan,2.333468156
2006-05-01,Ukraine,1.683168317
2006-05-01,Uruguay,1.767189133
2006-05-01,United States,3.1
2006-05-01,South Africa,2.114597544
2007-01-01,UAE,2.722866634
2007-01-01,Argentina,2.670983408
2007-01-01,Australia,2.723257806
2007-01-01,Brazil,2.999765643
2007-01-01,Canada,3.089756139
2007-01-01,Switzerland,5.046055266
2007-01-01,Chile,3.091733778
2007-01-01,China,1.414918385
2007-01-01,Colombia,3.081285655
2007-01-01,Costa Rica,2.217708303
2007-01-01,Czech Republic,2.423126205
2007-01-01,Denmark,4.823528389
2007-01-01,Egypt,1.594736842
2007-01-01,Euro area,3.809210998
2007-01-01,Britain,3.833731
2007-01-01,Hong Kong,1.538767319
2007-01-01,Hungary,3.034609464
2007-01-01,Indonesia,1.749174917
2007-01-01,Japan,2.302915656
2007-01-01,South Korea,3.084614157
2007-01-01,Sri Lanka,1.845466466
2007-01-01,Mexico,2.663140302
2007-01-01,Malaysia,1.570531125
2007-01-01,Norway,6.800714485
2007-01-01,New Zealand,3.22137875
2007-01-01,Pakistan,2.331196403
2007-01-01,Peru,2.97852328
2007-01-01,Philippines,1.732925586
2007-01-01,Poland,2.321864221
2007-01-01,Russia,1.846722068
2007-01-01,Saudi Arabia,2.400640171
2007-01-01,Singapore,2.340778309
2007-01-01,Sweden,4.544647612
2007-01-01,Thailand,1.756373938
2007-01-01,Turkey,3.22752261
2007-01-01,Taiwan,2.277869736
2007-01-01,Ukraine,1.782178218
2007-01-01,Uruguay,2.298850575
2007-01-01,United States,3.22
2007-01-01,South Africa,2.180104786
2007-06-01,UAE,2.722681297
2007-06-01,Argentina,2.668607472
2007-06-01,Australia,2.948717949
2007-06-01,Brazil,3.606900157
2007-06-01,Canada,3.683136361
2007-06-01,Switzerland,5.201453104
2007-06-01,Chile,2.971048885
2007-06-01,China,1.446473891
2007-06-01,Colombia,3.527607362
2007-06-01,Costa Rica,2.178838274
2007-06-01,Czech Republic,2.505120343
2007-06-01,Denmark,5.082138344
2007-06-01,Egypt,1.676551997
2007-06-01,Euro area,4.166889949
2007-06-01,Britain,4.007163503
2007-06-01,Hong Kong,1.53540058
2007-06-01,Hungary,3.329437891
2007-06-01,Indonesia,1.763727121
2007-06-01,Japan,2.289171402
2007-06-01,South Korea,3.143631436
2007-06-01,Sri Lanka,1.885098743
2007-06-01,Mexico,2.693277487
2007-06-01,Malaysia,1.601397583
2007-06-01,Norway,6.880063297
2007-06-01,New Zealand,3.594592483
2007-06-01,Pakistan,2.319032632
2007-06-01,Peru,2.999684244
2007-06-01,Philippines,1.851952721
2007-06-01,Poland,2.50740411
2007-06-01,Russia,2.027428772
2007-06-01,Saudi Arabia,2.399712035
2007-06-01,Singapore,2.592288761
2007-06-01,Sweden,4.858907629
2007-06-01,Thailand,1.799448556
2007-06-01,Turkey,3.659194207
2007-06-01,Taiwan,2.28864375
2007-06-01,Ukraine,1.839880656
2007-06-01,Uruguay,2.58926707
2007-06-01,United States,3.41
2007-06-01,South Africa,2.223497346
2008-06-01,UAE,2.722681297
2008-06-01,Argentina,3.64298725
2008-06-01,Australia,3.362573099
2008-06-01,Brazil,4.733055661
2008-06-01,Canada,4.075531862
2008-06-01,Switzerland,6.35914494
2008-06-01,Chile,3.133528758
2008-06-01,China,1.829089845
2008-06-01,Colombia,3.891807745
2008-06-01,Costa Rica,3.266669086
2008-06-01,Czech Republic,4.55788577
2008-06-01,Denmark,5.951874841
2008-06-01,Egypt,2.447058824
2008-06-01,Euro area,5.342704588
2008-06-01,Britain,4.570496503
2008-06-01,Hong Kong,1.705696771
2008-06-01,Hungary,4.644462899
2008-06-01,Indonesia,2.043269231
2008-06-01,Japan,2.620373403
2008-06-01,South Korea,3.143264083
2008-06-01,Sri Lanka,1.952580195
2008-06-01,Mexico,3.146973497
2008-06-01,Malaysia,1.69857937
2008-06-01,Norway,7.875333471
2008-06-01,New Zealand,3.718600592
2008-06-01,Pakistan,1.97461213
2008-06-01,Peru,3.345070423
2008-06-01,Philippines,1.95571541
2008-06-01,Poland,3.445814566
2008-06-01,Russia,2.539425659
2008-06-01,Saudi Arabia,2.666986705
2008-06-01,Singapore,2.919977823
2008-06-01,Sweden,6.37492975
2008-06-01,Thailand,1.858513189
2008-06-01,Turkey,4.317753092
2008-06-01,Taiwan,2.470152326
2008-06-01,Ukraine,2.391304348
2008-06-01,Uruguay,3.18537859
2008-06-01,United States,3.57
2008-06-01,South Africa,2.241100056
2009-07-01,UAE,2.722570106
2009-07-01,Argentina,3.017382748
2009-07-01,Australia,3.372445411
2009-07-01,Brazil,4.020830204
2009-07-01,Canada,3.350992807
2009-07-01,Switzerland,5.984991483
2009-07-01,Chile,3.190228785
2009-07-01,China,1.82943785
2009-07-01,Colombia,3.340332124
2009-07-01,Costa Rica,3.433063838
2009-07-01,Czech Republic,3.63956906
2009-07-01,Denmark,5.526932084
2009-07-01,Egypt,2.327767581
2009-07-01,Euro area,4.617118998
2009-07-01,Britain,3.688274001
2009-07-01,Hong Kong,1.716018321
2009-07-01,Hungary,3.615225522
2009-07-01,Indonesia,2.049019608
2009-07-01,Israel,3.774297037
2009-07-01,Japan,3.457030195
2009-07-01,South Korea,2.586534804
2009-07-01,Sri Lanka,1.828312729
2009-07-01,Mexico,2.389503563
2009-07-01,Malaysia,1.879511383
2009-07-01,Norway,6.145101202
2009-07-01,New Zealand,3.077212924
2009-07-01,Pakistan,2.300242131
2009-07-01,Peru,2.661029266
2009-07-01,Philippines,2.054149013
2009-07-01,Poland,2.408683939
2009-07-01,Russia,2.042938294
2009-07-01,Saudi Arabia,2.933020478
2009-07-01,Singapore,2.881529532
2009-07-01,Sweden,4.930997642
2009-07-01,Thailand,1.887604273
2009-07-01,Turkey,3.645043708
2009-07-01,Taiwan,2.260704436
2009-07-01,Ukraine,1.82767624
2009-07-01,Uruguay,2.632714717
2009-07-01,United States,3.57
2009-07-01,South Africa,2.167743494
2010-01-01,UAE,2.994827117
2010-01-01,Argentina,1.842832697
2010-01-01,Australia,3.977870239
2010-01-01,Brazil,4.75831254
2010-01-01,Canada,3.973765432
2010-01-01,Switzerland,6.303641565
2010-01-01,Chile,3.18028225
2010-01-01,China,1.830911648
2010-01-01,Colombia,3.912960489
2010-01-01,Costa Rica,3.518890434
2010-01-01,Czech Republic,3.714432415
2010-01-01,Denmark,5.99385891
2010-01-01,Egypt,2.378774016
2010-01-01,Euro area,4.843943997
2010-01-01,Britain,3.671328
2010-01-01,Hong Kong,1.908064797
2010-01-01,Hungary,3.857470742
2010-01-01,Indonesia,2.24248927
2010-01-01,Israel,3.991962492
2010-01-01,Japan,3.495739567
2010-01-01,South Korea,2.981148619
2010-01-01,Sri Lanka,1.828312729
2010-01-01,Mexico,2.497317335
2010-01-01,Malaysia,2.081180812
2010-01-01,Norway,7.023026749
2010-01-01,New Zealand,3.611305598
2010-01-01,Pakistan,2.421307506
2010-01-01,Peru,2.806479707
2010-01-01,Philippines,2.210801394
2010-01-01,Poland,2.85648793
2010-01-01,Russia,2.339024961
2010-01-01,Saudi Arabia,2.666524452
2010-01-01,Singapore,3.188706961
2010-01-01,Sweden,5.506841191
2010-01-01,Thailand,2.11256979
2010-01-01,Turkey,3.831677461
2010-01-01,Taiwan,2.355342702
2010-01-01,Ukraine,1.82767624
2010-01-01,Uruguay,3.32326284
2010-01-01,United States,3.58
2010-01-01,South Africa,2.457389281
2010-07-01,UAE,2.994949426
2010-07-01,Argentina,3.558945027
2010-07-01,Australia,3.8369175
2010-07-01,Brazil,4.907180484
2010-07-01,Canada,4.000575622
2010-07-01,Switzerland,6.185468906
2010-07-01,Chile,3.34192686
2010-07-01,China,1.947793239
2010-07-01,Colombia,4.388664401
2010-07-01,Costa Rica,3.830573724
2010-07-01,Czech Republic,3.425226357
2010-07-01,Denmark,4.902255898
2010-07-01,Egypt,2.281101948
2010-07-01,Euro area,4.332523827
2010-07-01,Britain,3.483548
2010-07-01,Hong Kong,1.90373286
2010-07-01,Hungary,3.333796611
2010-07-01,Indonesia,2.513516496
2010-07-01,Israel,3.858204511
2010-07-01,Japan,3.670566644
2010-07-01,South Korea,2.822865208
2010-07-01,Sri Lanka,1.86211483
2010-07-01,Mexico,2.503520576
2010-07-01,Malaysia,2.193869613
2010-07-01,Norway,7.204322594
2010-07-01,New Zealand,3.59
2010-07-01,Pakistan,2.455422391
2010-07-01,Peru,3.536693192
2010-07-01,Philippines,2.194964493
2010-07-01,Poland,2.596265132
2010-07-01,Russia,2.332208289
2010-07-01,Saudi Arabia,2.666346705
2010-07-01,Singapore,3.078154563
2010-07-01,Sweden,6.564002414
2010-07-01,Thailand,2.166847237
2010-07-01,Turkey,3.890668933
2010-07-01,Taiwan,2.336048341
2010-07-01,Ukraine,1.835675402
2010-07-01,Uruguay,3.744075829
2010-07-01,United States,3.733333333
2010-07-01,South Africa,2.448085982
2011-07-01,UAE,3.267039654
2011-07-01,Argentina,4.83968542
2011-07-01,Australia,4.943724001
2011-07-01,Brazil,6.162428646
2011-07-01,Canada,5.000792938
2011-07-01,Switzerland,8.063015568
2011-07-01,Chile,3.997839006
2011-07-01,China,2.273079907
2011-07-01,Colombia,4.74442248
2011-07-01,Costa Rica,4.065000347
2011-07-01,Czech Republic,4.072400848
2011-07-01,Denmark,5.482403409
2011-07-01,Egypt,2.363300906
2011-07-01,Euro area,4.928401836
2011-07-01,Britain,3.891637
2011-07-01,Hong Kong,1.937934752
2011-07-01,Hungary,4.040996978
2011-07-01,Indonesia,2.643904728
2011-07-01,India,1.891891892
2011-07-01,Israel,4.671867425
2011-07-01,Japan,4.083455624
2011-07-01,South Korea,3.503124408
2011-07-01,Sri Lanka,2.557661567
2011-07-01,Mexico,2.741897479
2011-07-01,Malaysia,2.421796165
2011-07-01,Norway,8.311707502
2011-07-01,New Zealand,4.411500001
2011-07-01,Pakistan,2.375702125
2011-07-01,Peru,3.652968037
2011-07-01,Philippines,2.78236265
2011-07-01,Poland,3.085669336
2011-07-01,Russia,2.702459238
2011-07-01,Saudi Arabia,2.666524452
2011-07-01,Singapore,3.653535479
2011-07-01,Sweden,7.639853517
2011-07-01,Thailand,2.352941176
2011-07-01,Turkey,3.772818295
2011-07-01,Taiwan,2.601095928
2011-07-01,Ukraine,2.064048036
2011-07-01,Uruguay,4.87804878
2011-07-01,United States,4.065
2011-07-01,South Africa,2.873457087
2012-01-01,UAE,3.267084127
2012-01-01,Argentina,4.636606004
2012-01-01,Australia,4.93656
2012-01-01,Brazil,5.67867036
2012-01-01,Canada,4.632939909
2012-01-01,Switzerland,6.805570097
2012-01-01,Chile,4.050983104
2012-01-01,China,2.438445095
2012-01-01,Colombia,4.535269822
2012-01-01,Costa Rica,4.023236645
2012-01-01,Czech Republic,3.448013415
2012-01-01,Denmark,5.37418854
2012-01-01,Egypt,2.567500414
2012-01-01,Euro area,4.430704775
2012-01-01,Britain,3.823395002
2012-01-01,Hong Kong,2.124276619
2012-01-01,Hungary,2.625214062
2012-01-01,Indonesia,2.460043668
2012-01-01,India,1.6183412
2012-01-01,Israel,4.131479797
2012-01-01,Japan,4.160166407
2012-01-01,South Korea,3.193096009
2012-01-01,Sri Lanka,2.545422628
2012-01-01,Mexico,2.703808716
2012-01-01,Malaysia,2.341099839
2012-01-01,Norway,6.788191857
2012-01-01,New Zealand,4.047615
2012-01-01,Pakistan,2.887284842
2012-01-01,Peru,3.714020427
2012-01-01,Philippines,2.681513464
2012-01-01,Poland,2.584896817
2012-01-01,Russia,2.549631248
2012-01-01,Saudi Arabia,2.666524452
2012-01-01,Singapore,3.75154703
2012-01-01,Sweden,5.913063544
2012-01-01,Thailand,2.456692913
2012-01-01,Turkey,3.54276819
2012-01-01,Taiwan,2.501709501
2012-01-01,Ukraine,2.114296375
2012-01-01,Uruguay,4.627249357
2012-01-01,United States,4.19722
2012-01-01,South Africa,2.453753813
2012-07-01,UAE,3.267128602
2012-07-01,Argentina,4.160963592
2012-07-01,Australia,4.680155999
2012-07-01,Brazil,4.935974341
2012-07-01,Canada,5.022315955
2012-07-01,Switzerland,6.56167979
2012-07-01,Chile,4.157793327
2012-07-01,China,2.44971433
2012-07-01,Colombia,4.765929148
2012-07-01,Czech Republic,3.34141011
2012-07-01,Denmark,4.645022492
2012-07-01,Egypt,2.637435094
2012-07-01,Euro area,4.344434693
2012-07-01,Britain,4.1623715
2012-07-01,Hong Kong,2.126795692
2012-07-01,Hungary,3.484245961
2012-07-01,Indonesia,2.552069602
2012-07-01,India,1.584616754
2012-07-01,Israel,2.919349893
2012-07-01,Japan,4.091025313
2012-07-01,South Korea,3.214596003
2012-07-01,Sri Lanka,2.213740458
2012-07-01,Mexico,2.703295098
2012-07-01,Malaysia,2.331810304
2012-07-01,Norway,7.058379363
2012-07-01,New Zealand,4.004520001
2012-07-01,Pakistan,3.012525765
2012-07-01,Philippines,2.796208531
2012-07-01,Poland,2.629791784
2012-07-01,Russia,2.289010461
2012-07-01,Saudi Arabia,2.666488901
2012-07-01,Singapore,3.496225665
2012-07-01,Sweden,5.728681352
2012-07-01,Thailand,2.586750789
2012-07-01,Turkey,4.515846516
2012-07-01,Taiwan,2.483813813
2012-07-01,Ukraine,1.85517284
2012-07-01,Uruguay,4.526748971
2012-07-01,United States,4.3275
2012-07-01,South Africa,2.355844739
2013-01-01,UAE,3.267039654
2013-01-01,Argentina,3.817944338
2013-01-01,Australia,4.900454998
2013-01-01,Brazil,5.64376552
2013-01-01,Canada,5.394356367
2013-01-01,Switzerland,7.124849282
2013-01-01,Chile,4.345521993
2013-01-01,China,2.572181853
2013-01-01,Colombia,4.850057101
2013-01-01,Costa Rica,4.392708105
2013-01-01,Czech Republic,3.722158566
2013-01-01,Denmark,5.183750307
2013-01-01,Egypt,2.393149609
2013-01-01,Euro area,4.878031129
2013-01-01,Britain,4.248182498
2013-01-01,Hong Kong,2.190975757
2013-01-01,Hungary,3.816629792
2013-01-01,Indonesia,2.860404402
2013-01-01,India,1.666822736
2013-01-01,Israel,4.00048328
2013-01-01,Japan,3.513973535
2013-01-01,South Korea,3.408645984
2013-01-01,Sri Lanka,2.767892448
2013-01-01,Mexico,2.904603404
2013-01-01,Malaysia,2.578657152
2013-01-01,Norway,7.842279003
2013-01-01,New Zealand,4.324580001
2013-01-01,Pakistan,2.969333948
2013-01-01,Peru,3.907013088
2013-01-01,Philippines,2.906403941
2013-01-01,Poland,2.943078913
2013-01-01,Russia,2.425694791
2013-01-01,Saudi Arabia,2.933176897
2013-01-01,Singapore,3.644167308
2013-01-01,Sweden,6.388096355
2013-01-01,Thailand,2.92387834
2013-01-01,Turkey,4.777385159
2013-01-01,Taiwan,2.542200529
2013-01-01,Ukraine,2.333005894
2013-01-01,Uruguay,5.446058091
2013-01-01,United States,4.367395833
2013-01-01,South Africa,2.310158063
2013-07-01,UAE,3.267084127
2013-07-01,Argentina,3.879907621
2013-07-01,Australia,4.619864251
2013-07-01,Brazil,5.284830335
2013-07-01,Canada,5.260404281
2013-07-01,Switzerland,6.719040728
2013-07-01,Chile,3.935806988
2013-07-01,China,2.608369606
2013-07-01,Colombia,4.476834982
2013-07-01,Costa Rica,4.311425277
2013-07-01,Czech Republic,3.490595953
2013-07-01,Denmark,4.913284833
2013-07-01,Egypt,2.38973342
2013-07-01,Euro area,4.659391484
2013-07-01,Britain,4.020070499
2013-07-01,Hong Kong,2.191667795
2013-07-01,Hungary,3.76430216
2013-07-01,Indonesia,2.803712995
2013-07-01,India,1.500500167
2013-07-01,Israel,4.799846405
2013-07-01,Japan,3.196643524
2013-07-01,South Korea,3.434005459
2013-07-01,Sri Lanka,2.828746177
2013-07-01,Mexico,2.859096757
2013-07-01,Malaysia,2.295236598
2013-07-01,Norway,7.506404922
2013-07-01,New Zealand,4.299075001
2013-07-01,Pakistan,2.998950367
2013-07-01,Peru,3.5932447
2013-07-01,Philippines,2.652163904
2013-07-01,Poland,2.733620562
2013-07-01,Russia,2.641253958
2013-07-01,Saudi Arabia,2.666524452
2013-07-01,Singapore,3.687142073
2013-07-01,Sweden,6.15687377
2013-07-01,Thailand,2.845723421
2013-07-01,Turkey,4.342384224
2013-07-01,Taiwan,2.630834041
2013-07-01,Ukraine,2.329858982
2013-07-01,Uruguay,4.979843491
2013-07-01,United States,4.556666667
2013-07-01,South Africa,2.239418746
2014-01-01,UAE,3.267084127
2014-01-01,Argentina,3.034134008
2014-01-01,Australia,4.473542499
2014-01-01,Brazil,5.247455619
2014-01-01,Canada,5.013120985
2014-01-01,Switzerland,7.1424647
2014-01-01,Chile,3.690377341
2014-01-01,China,2.743212202
2014-01-01,Colombia,4.337311724
2014-01-01,Costa Rica,4.283551164
2014-01-01,Czech Republic,3.473215078
2014-01-01,Denmark,5.180499509
2014-01-01,Egypt,2.432121822
2014-01-01,Euro area,4.961843535
2014-01-01,Britain,4.6267965
2014-01-01,Hong Kong,2.320230476
2014-01-01,Hungary,3.854824616
2014-01-01,Indonesia,2.301400329
2014-01-01,India,1.53609831
2014-01-01,Israel,5.016914168
2014-01-01,Japan,2.97376373
2014-01-01,South Korea,3.466691652
2014-01-01,Sri Lanka,2.675840979
2014-01-01,Mexico,2.775121412
2014-01-01,Malaysia,2.226568377
2014-01-01,Norway,7.795434798
2014-01-01,New Zealand,4.571874999
2014-01-01,Pakistan,3.035621117
2014-01-01,Peru,3.563156957
2014-01-01,Philippines,2.984744639
2014-01-01,Poland,2.998305306
2014-01-01,Russia,2.62233255
2014-01-01,Saudi Arabia,2.933020478
2014-01-01,Singapore,3.596981663
2014-01-01,Sweden,6.287510717
2014-01-01,Thailand,2.920152091
2014-01-01,Turkey,3.758484225
2014-01-01,Taiwan,2.619276549
2014-01-01,Ukraine,2.267573696
2014-01-01,Uruguay,4.911131899
2014-01-01,United States,4.624166667
2014-01-01,South Africa,2.1603931
2014-07-01,UAE,3.539292958
2014-07-01,Argentina,2.570772762
2014-07-01,Australia,4.814145
2014-07-01,Brazil,5.855196487
2014-07-01,Canada,5.251152181
2014-07-01,Switzerland,6.826241135
2014-07-01,Chile,3.722480235
2014-07-01,China,2.726554055
2014-07-01,Colombia,4.654561199
2014-07-01,Costa Rica,4.001488926
2014-07-01,Czech Republic,3.455514845
2014-07-01,Denmark,5.145518885
2014-07-01,Egypt,2.36781561
2014-07-01,Euro area,4.95354247
