Rank,Company,Sector,Industry,Revenue,Profits,Employees
398,Auto-Owners Insurance,Financials,Insurance: Property and Casualty (Mutual),6517,815,4483
399,Cablevision Systems,Telecommunications,Telecommunications,6510,175,13549
400,Symantec,Technology,Computer Software,6508,878,19000
401,Charles Schwab,Financials,Securities,6501,1447,15300
402,Calpine,Energy,Energy,6472,235,2209
403,CMS Energy,Energy,Utilities: Gas and Electric,6456,523,7758
404,Alliance Data Systems,Business Services,Financial Data Services,6440,597,16000
405,JetBlue Airways,Transportation,Airlines,6416,677,14537
406,Discovery Communications,Media,Entertainment,6394,1034,7000
407,Trinity Industries,Transportation,Transportation Equipment,6393,797,22030
408,Sanmina,Technology,Semiconductors and Other Electronic Components,6375,377,38910
409,NCR,Technology,"Computers, Office Equipment",6373,-178,32600
410,FMC Technologies,Energy,"Oil and Gas Equipment, Services",6363,393,17400
411,Erie Insurance Group,Financials,Insurance: Property and Casualty (Stock),6351,175,4800
412,Rockwell Automation,Industrials,"Electronics, Electrical Equip.",6308,828,22500
413,Dr Pepper Snapple Group,"Food, Beverages & Tobacco",Beverages,6282,764,19000
414,iHeartMedia,Media,Entertainment,6242,-755,18700
415,Tractor Supply,Retailing,Specialty Retailers: Other,6227,410,17500
416,J.B. Hunt Transport Services,Transportation,"Trucking, Truck Leasing",6188,427,21562
417,Commercial Metals,Materials,Metals,6162,142,9126
418,Owens-Illinois,Materials,"Packaging, Containers",6156,-74,27000
419,Harman International Industries,Industrials,"Electronics, Electrical Equip.",6155,343,24197
420,Baxalta,Health Care,Pharmaceuticals,6149,956,17000
421,American Financial Group,Financials,Insurance: Property and Casualty (Stock),6145,352,7400
422,NetApp,Technology,Computer Peripherals,6123,560,12810
423,Graybar Electric,Wholesalers,Wholesalers: Diversified,6110,91,8300
424,Oshkosh,Motor Vehicles & Parts,Motor Vehicles and Parts,6098,230,13300
425,Ameren,Energy,Utilities: Gas and Electric,6098,630,8527
426,A-Mark Precious Metals,Materials,Miscellaneous,6070,7,52
427,Barnes & Noble,Retailing,Specialty Retailers: Other,6070,37,37000
428,Dana Holding,Motor Vehicles & Parts,Motor Vehicles and Parts,6060,159,23100
429,Constellation Brands,"Food, Beverages & Tobacco",Beverages,6028,839,7200
430,LifePoint Health,Health Care,Health Care: Medical Facilities,6014,182,40000
431,Zimmer Biomet Holdings,Health Care,Medical Products and Equipment,5998,147,17500
432,Harley-Davidson,Transportation,Transportation Equipment,5995,752,6300
433,PulteGroup,Engineering & Construction,Homebuilders,5982,494,4542
434,Newell Brands,Household Products,"Home Equipment, Furnishings",5972,350,17200
435,Avery Dennison,Materials,"Packaging, Containers",5967,274,25000
436,Jones Lang LaSalle,Financials,Real estate,5966,439,61500
437,WEC Energy Group,Energy,Utilities: Gas and Electric,5926,640,8211
438,Marathon Oil,Energy,"Mining, Crude-Oil Production",5861,-2204,2611
439,TravelCenters of America,Retailing,Specialty Retailers: Other,5851,28,18450
440,United Rentals,Business Services,Miscellaneous,5817,585,12700
441,HRG Group,Household Products,Household and Personal Products,5816,-557,15922
442,Old Republic International,Financials,Insurance: Property and Casualty (Stock),5766,422,8200
443,Windstream Holdings,Telecommunications,Telecommunications,5765,27,12326
444,Starwood Hotels & Resorts,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",5763,489,188000
445,Delek US Holdings,Energy,Petroleum Refining,5762,19,4584
446,Packaging Corp. of America,Materials,"Packaging, Containers",5742,437,13000
447,Quintiles Transnational Holdings,Health Care,Health Care: Pharmacy and Other Services,5738,387,36100
448,Hanesbrands,Apparel,Apparel,5732,429,65300
449,Realogy Holdings,Financials,Real estate,5706,184,11400
450,Mattel,Household Products,Miscellaneous,5703,369,31000
451,Motorola Solutions,Technology,Network and Other Communications Equipment,5695,610,14000
452,J.M. Smucker,"Food, Beverages & Tobacco",Food Consumer Products,5693,345,7370
453,Regions Financial,Financials,Commercial Banks,5674,1062,23916
453,Regions Financial,Financials,Commercial Banks,5674,1062,23916
455,Clorox,Household Products,Household and Personal Products,5666,580,7700
456,Ingredion,"Food, Beverages & Tobacco",Food Production,5621,402,11500
457,Genesis Healthcare,Health Care,Health Care: Medical Facilities,5619,-426,88700
458,Peabody Energy,Energy,"Mining, Crude-Oil Production",5609,-1996,7600
459,Alaska Air Group,Transportation,Airlines,5598,848,13858
460,Seaboard,"Food, Beverages & Tobacco",Food Production,5594,171,10772
461,Frontier Communications,Telecommunications,Telecommunications,5576,-196,19200
462,Amphenol,Technology,Network and Other Communications Equipment,5569,764,50700
463,Lansing Trade Group,Wholesalers,Wholesalers: Diversified,5565,35,500
464,SanDisk,Technology,Semiconductors and Other Electronic Components,5565,389,8790
465,St. Jude Medical,Health Care,Medical Products and Equipment,5541,880,18000
466,Wyndham Worldwide,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",5536,612,37700
467,Kelly Services,Business Services,Temporary Help,5518,54,8100
468,Western Union,Business Services,Financial Data Services,5484,838,10000
469,Envision Healthcare Holdings,Health Care,Health Care: Pharmacy and Other Services,5448,145,40888
470,Visteon,Motor Vehicles & Parts,Motor Vehicles and Parts,5444,2284,11000
471,Arthur J. Gallagher,Financials,Diversified Financials,5392,357,21537
472,Host Hotels & Resorts,Financials,Real estate,5387,558,240
472,Host Hotels & Resorts,Financials,Real estate,5387,558,240
474,Insight Enterprises,Wholesalers,Wholesalers: Electronics and Office Equipment,5373,76,5761
475,Energy Future Holdings,Energy,Energy,5370,-5342,8860
476,Markel,Financials,Insurance: Property and Casualty (Stock),5370,583,10600
477,Essendant,Wholesalers,Wholesalers: Electronics and Office Equipment,5363,-44,6400
478,CH2M Hill,Engineering & Construction,"Engineering, Construction",5362,80,22000
479,Western & Southern Financial Group,Financials,"Insurance: Life, Health (Mutual)",5356,457,2168
480,Owens Corning,Materials,"Building Materials, Glass",5350,330,15000
481,S&P Global,Business Services,Financial Data Services,5313,1156,20400
482,Raymond James Financial,Financials,Securities,5308,502,11000
483,NiSource,Energy,Utilities: Gas and Electric,5308,287,7596
484,Airgas,Wholesalers,Wholesalers: Diversified,5305,368,17000
485,ABM Industries,Business Services,Diversified Outsourcing Services,5291,76,120000
486,Citizens Financial Group,Financials,Commercial Banks,5276,840,17700
487,Booz Allen Hamilton Holding,Technology,Information Technology Services,5275,233,22500
488,Simon Property Group,Financials,Real estate,5266,1828,4075
489,Domtar,Materials,Forest and Paper Products,5264,142,9850
490,Rockwell Collins,Aerospace & Defense,Aerospace and Defense,5262,686,19500
491,Lam Research,Technology,Semiconductors and Other Electronic Components,5259,656,7300
492,Fiserv,Business Services,Financial Data Services,5254,712,22000
493,Spectra Energy,Energy,Pipelines,5234,196,6250
494,Navient,Financials,Diversified Financials,5197,997,7300
495,Big Lots,Retailing,Specialty Retailers: Other,5191,143,23650
496,Telephone & Data Systems,Telecommunications,Telecommunications,5176,219,10400
497,First American Financial,Financials,Insurance: Property and Casualty (Stock),5176,288,17955
498,NVR,Engineering & Construction,Homebuilders,5170,383,4300
499,Cincinnati Financial,Financials,Insurance: Property and Casualty (Stock),5142,634,4493
500,Burlington Stores,Retailing,Specialty Retailers: Apparel,5130,151,37500
501,KBR,Engineering & Construction,"Engineering, Construction",5096,203,22000
502,Neiman Marcus Group,Retailing,Specialty Retailers: Apparel,5095,15,15100
503,Robert Half International,Business Services,Temporary Help,5095,358,16100
504,Leidos Holdings,Technology,Information Technology Services,5086,254,18000
505,Harris,Technology,Network and Other Communications Equipment,5083,334,22300
506,Hanover Insurance Group,Financials,Insurance: Property and Casualty (Stock),5034,332,4800
507,Pepco Holdings,Energy,Utilities: Gas and Electric,5023,327,5184
508,Nvidia,Technology,Semiconductors and Other Electronic Components,5010,614,9227
509,Alleghany,Financials,Insurance: Property and Casualty (Stock),5000,560,3135
510,M&T Bank Corp.,Financials,Commercial Banks,4996,1080,16904
511,Rush Enterprises,Retailing,"Automotive Retailing, Services",4980,66,6700
512,Williams-Sonoma,Retailing,Specialty Retailers: Other,4976,310,19850
513,Yahoo,Technology,Internet Services and Retailing,4968,-4359,10400
514,Sonoco Products,Materials,"Packaging, Containers",4964,250,21000
515,Brookdale Senior Living,Health Care,Health Care: Medical Facilities,4961,-458,67500
516,Tutor Perini,Engineering & Construction,"Engineering, Construction",4921,45,10626
517,Michaels Cos.,Retailing,Specialty Retailers: Other,4913,363,31500
518,Berry Plastics Group,Materials,"Packaging, Containers",4881,86,16000
519,Juniper Networks,Technology,Network and Other Communications Equipment,4858,634,9058
520,Northern Trust,Financials,Commercial Banks,4857,974,16200
521,YRC Worldwide,Transportation,"Trucking, Truck Leasing",4832,1,32000
522,Pioneer Natural Resources,Energy,"Mining, Crude-Oil Production",4826,-273,3732
523,Ascena Retail Group,Retailing,Specialty Retailers: Apparel,4803,-237,31000
524,Adobe Systems,Technology,Computer Software,4796,630,13893
525,Liberty Media,Media,Entertainment,4795,64,3503
526,American Tower,Telecommunications,Telecommunications,4772,685,3371
527,Zoetis,Health Care,Pharmaceuticals,4765,339,9000
528,Polaris Industries,Transportation,Transportation Equipment,4719,455,8100
529,Intercontinental Exchange,Financials,Securities,4682,1274,5549
530,Quad/Graphics,Media,"Publishing, Printing",4678,-642,22500
531,AmTrust Financial Services,Financials,Insurance: Property and Casualty (Stock),4664,504,6200
532,Activision Blizzard,Technology,Computer Software,4664,892,7300
533,Fortune Brands Home & Security,Household Products,"Home Equipment, Furnishings",4658,315,21400
534,Caesars Entertainment,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",4654,5920,33000
535,Post Holdings,"Food, Beverages & Tobacco",Food Consumer Products,4648,-115,8500
536,Blackstone Group,Financials,Diversified Financials,4647,710,2060
537,Magellan Health,Health Care,Health Care: Insurance and Managed Care,4597,31,6900
538,RPM International,Chemicals,Chemicals,4595,240,12864
539,Flowserve,Industrials,Industrial Machinery,4561,268,19000
540,KeyCorp,Financials,Commercial Banks,4542,916,13483
541,MRC Global,Energy,"Oil and Gas Equipment, Services",4529,-332,4100
542,Keurig Green Mountain,"Food, Beverages & Tobacco",Beverages,4520,498,6000
543,Electronic Arts,Technology,Computer Software,4515,875,8400
544,General Cable,Industrials,"Electronics, Electrical Equip.",4515,-122,12000
545,Cintas,Business Services,Diversified Outsourcing Services,4508,431,32000
546,Chipotle Mexican Grill,"Hotels, Resturants & Leisure",Food Services,4501,476,59330
547,Levi Strauss,Apparel,Apparel,4495,209,12500
548,Talen Energy,Energy,Utilities: Gas and Electric,4481,-341,4981
549,Westlake Chemical,Chemicals,Chemicals,4463,646,4225
550,Hasbro,Household Products,Miscellaneous,4448,452,5000
551,Securian Financial Group,Financials,"Insurance: Life, Health (stock)",4434,281,5000
552,Intuit,Technology,Computer Software,4428,365,8193
553,Cerner,Health Care,Health Care: Pharmacy and Other Services,4425,539,22200
554,Coty,Household Products,Household and Personal Products,4395,233,8100
555,Valspar,Chemicals,Chemicals,4393,400,11130
556,SCANA,Energy,Utilities: Gas and Electric,4380,746,5829
557,Bloomin’ Brands,"Hotels, Resturants & Leisure",Food Services,4378,127,100000
558,MDU Resources Group,Energy,Energy,4376,-622,8689
559,Patterson,Health Care,Wholesalers: Health Care,4375,223,7000
560,Orbital ATK,Aerospace & Defense,Aerospace and Defense,4369,159,12300
561,FM Global,Financials,Insurance: Property and Casualty (Stock),4343,738,5483
562,Hyatt Hotels,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",4328,124,45000
563,CA,Technology,Computer Software,4324,846,11600
564,VWR,Wholesalers,Wholesalers: Diversified,4319,154,9300
565,Science Applications International,Technology,Information Technology Services,4315,117,15342
566,CF Industries Holdings,Chemicals,Chemicals,4308,700,2850
567,McCormick,"Food, Beverages & Tobacco",Food Consumer Products,4296,402,10600
568,LPL Financial Holdings,Financials,Securities,4275,169,3410
569,Alon USA Energy,Energy,Petroleum Refining,4260,53,2860
570,Swift Transportation,Transportation,"Trucking, Truck Leasing",4229,198,20900
571,Calumet Specialty Products Partners,Energy,Petroleum Refining,4213,-139,2175
572,MasTec,Engineering & Construction,"Engineering, Construction",4208,-79,15900
573,T. Rowe Price,Financials,Securities,4201,1223,5999
574,Andersons,"Food, Beverages & Tobacco",Food Production,4199,-13,2954
575,Coach,Apparel,Apparel,4192,402,12950
576,Toll Brothers,Engineering & Construction,Homebuilders,4171,363,3900
577,Graphic Packaging Holding,Materials,"Packaging, Containers",4160,230,12000
578,Brunswick,Transportation,Transportation Equipment,4143,241,12607
579,Atmos Energy,Energy,Utilities: Gas and Electric,4142,315,4753
580,Hexion,Chemicals,Chemicals,4140,-40,5100
581,Watsco,Wholesalers,Wholesalers: Diversified,4113,173,5000
582,Tiffany,Retailing,Specialty Retailers: Other,4105,464,12200
583,Regeneron Pharmaceuticals,Health Care,Pharmaceuticals,4104,636,4300
584,Avaya,Technology,Network and Other Communications Equipment,4081,-144,11656
585,Wynn Resorts,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",4076,195,20800
586,Bemis,Materials,"Packaging, Containers",4071,239,17696
587,Mead Johnson Nutrition,"Food, Beverages & Tobacco",Food Consumer Products,4071,654,7660
588,Tesla Motors,Motor Vehicles & Parts,Motor Vehicles and Parts,4046,-889,13058
589,Agilent Technologies,Technology,"Scientific,Photographic and Control Equipment",4038,401,11800
590,Torchmark,Financials,"Insurance: Life, Health (stock)",4027,527,3115
591,Thor Industries,Motor Vehicles & Parts,Motor Vehicles and Parts,4007,199,10450
592,Cabela’s,Retailing,Specialty Retailers: Other,3998,189,19700
593,Advanced Micro Devices,Technology,Semiconductors and Other Electronic Components,3991,-660,9100
594,Ametek,Technology,"Scientific,Photographic and Control Equipment",3974,591,15400
595,Smart & Final Stores,Food and Drug Stores,Food and Drug Stores,3971,38,6939
596,Colfax,Industrials,Industrial Machinery,3967,168,17087
597,Under Armour,Apparel,Apparel,3963,233,9600
598,Antero Resources,Energy,"Mining, Crude-Oil Production",3955,941,480
599,Nexeo Solutions Holdings,Wholesalers,Wholesalers: Diversified,3949,20,2450
600,AGL Resources,Energy,Utilities: Gas and Electric,3941,353,5203
601,Leggett & Platt,Household Products,"Home Equipment, Furnishings",3937,325,20000
602,Ulta Salon Cosmetics & Fragrance,Retailing,Specialty Retailers: Other,3924,320,18100
603,CIT Group,Financials,Commercial Banks,3906,1057,4900
604,American Axle & Manufacturing,Motor Vehicles & Parts,Motor Vehicles and Parts,3903,236,13054
605,Triumph Group,Aerospace & Defense,Aerospace and Defense,3889,239,15153
606,Dynegy,Energy,Energy,3870,50,2591
607,Fastenal,Retailing,Specialty Retailers: Other,3869,516,20746
608,WhiteWave Foods,"Food, Beverages & Tobacco",Food Consumer Products,3866,168,5300
609,Welltower,Financials,Real estate,3860,884,462
610,Sally Beauty Holdings,Retailing,Specialty Retailers: Other,3834,235,21033
611,CNO Financial Group,Financials,"Insurance: Life, Health (stock)",3812,271,3500
612,CommScope Holding,Technology,Network and Other Communications Equipment,3808,-71,23000
613,Axiall,Chemicals,Chemicals,3787,-816,5830
614,Ingles Markets,Food and Drug Stores,Food and Drug Stores,3779,59,17125
615,Flowers Foods,"Food, Beverages & Tobacco",Food Consumer Products,3779,189,10900
616,USG,Materials,"Building Materials, Glass",3776,991,8900
617,Silgan Holdings,Materials,"Packaging, Containers",3764,172,9600
618,Select Medical Holdings,Health Care,Health Care: Medical Facilities,3743,131,34700
619,Crown Castle International,Telecommunications,Telecommunications,3729,1521,2700
620,Allegheny Technologies,Materials,Metals,3720,-378,9200
621,HSN,Retailing,Specialty Retailers: Other,3691,169,6600
622,Xylem,Industrials,Industrial Machinery,3653,340,12700
623,Zebra Technologies,Industrials,"Electronics, Electrical Equip.",3652,-137,7000
624,Albemarle,Chemicals,Chemicals,3651,335,6963
625,Resolute Forest Products,Materials,Forest and Paper Products,3645,-257,8000
626,Towers Watson,Business Services,Diversified Outsourcing Services,3645,385,16300
627,Boise Cascade,Wholesalers,Wholesalers: Diversified,3633,52,5830
628,Greif,Materials,"Packaging, Containers",3617,72,13150
629,Team Health Holdings,Health Care,Health Care: Pharmacy and Other Services,3597,83,18800
630,Snap-on,Industrials,Industrial Machinery,3593,479,11500
631,Sprouts Farmers Market,Food and Drug Stores,Food and Drug Stores,3593,129,20000
632,Roper Technologies,Technology,"Scientific,Photographic and Control Equipment",3582,696,10806
633,First Solar,Energy,Energy,3579,546,6350
634,Pitney Bowes,Technology,"Computers, Office Equipment",3578,408,14800
635,ADT,Business Services,Diversified Outsourcing Services,3574,296,17100
636,Molson Coors Brewing,"Food, Beverages & Tobacco",Beverages,3568,360,17500
637,Builders FirstSource,Materials,"Building Materials, Glass",3564,-23,14000
638,Lexmark International,Technology,Computer Peripherals,3551,-40,14000
639,Carlisle,Materials,"Building Materials, Glass",3543,320,12000
640,CalAtlantic Group,Engineering & Construction,Homebuilders,3540,214,2855
641,Martin Marietta Materials,Materials,"Building Materials, Glass",3540,289,7299
642,Hub Group,Transportation,Transportation and Logistics,3526,71,2633
643,American Eagle Outfitters,Retailing,Specialty Retailers: Apparel,3522,218,22150
644,Abercrombie & Fitch,Retailing,Specialty Retailers: Apparel,3519,36,28500
645,Regal Beloit,Industrials,"Electronics, Electrical Equip.",3510,143,26200
646,Country Financial,Financials,Insurance: Property and Casualty (Mutual),3506,173,3343
647,Meritor,Motor Vehicles & Parts,Motor Vehicles and Parts,3506,64,8400
648,Tailored Brands,Retailing,Specialty Retailers: Apparel,3496,-1027,21250
649,ON Semiconductor,Technology,Semiconductors and Other Electronic Components,3496,206,24500
650,Pinnacle West Capital,Energy,Utilities: Gas and Electric,3495,437,6407
651,Ventas,Financials,Real estate,3486,418,466
652,Moody’s,Business Services,Financial Data Services,3485,941,10400
653,Sprague Resources,Wholesalers,Wholesalers: Diversified,3482,78,590
654,FMC,Chemicals,Chemicals,3471,489,6000
655,Lennox International,Industrials,Industrial Machinery,3467,187,10000
656,Buckeye Partners,Energy,Pipelines,3453,437,1765
657,Urban Outfitters,Retailing,Specialty Retailers: Apparel,3445,225,16680
658,Manitowoc,Industrials,Construction and Farm Machinery,3436,64,11430
659,Analog Devices,Technology,Semiconductors and Other Electronic Components,3435,697,9700
660,Vulcan Materials,Materials,"Building Materials, Glass",3422,221,7187
661,C.R. Bard,Health Care,Medical Products and Equipment,3416,135,15000
662,Murphy Oil,Energy,"Mining, Crude-Oil Production",3415,-2271,1258
663,Nasdaq,Financials,Securities,3403,428,3824
664,Darling Ingredients,"Food, Beverages & Tobacco",Food Production,3397,79,10000
665,Church & Dwight,Household Products,Household and Personal Products,3395,410,4406
666,Hubbell,Industrials,"Electronics, Electrical Equip.",3390,277,16200
667,Worthington Industries,Materials,Metals,3384,77,10500
668,PolyOne,Chemicals,Chemicals,3378,145,6900
669,Diplomat Pharmacy,Food and Drug Stores,Food and Drug Stores,3367,26,1616
670,Cooper-Standard Holdings,Motor Vehicles & Parts,Motor Vehicles and Parts,3343,112,29000
671,CME Group,Financials,Securities,3327,1247,2530
672,Landstar System,Transportation,"Trucking, Truck Leasing",3321,148,1223
673,CACI International,Technology,Information Technology Services,3314,126,16600
674,Westinghouse Air Brake Technologies,Industrials,Industrial Machinery,3308,399,13000
675,Rent-A-Center,Retailing,Specialty Retailers: Other,3278,-867,24300
676,Citrix Systems,Technology,Network and Other Communications Equipment,3276,319,9500
677,Clean Harbors,Business Services,Waste Management,3275,44,12900
678,Skyworks Solutions,Technology,Semiconductors and Other Electronic Components,3258,798,6700
679,Alliant Energy,Energy,Utilities: Gas and Electric,3254,378,4070
680,TD Ameritrade Holding,Financials,Securities,3253,813,5690
681,TEGNA,Media,Entertainment,3242,460,10020
682,IAC/InterActiveCorp,Technology,Internet Services and Retailing,3231,120,5000
683,Fossil Group,Apparel,Apparel,3229,221,15100
684,NBTY,Health Care,Pharmaceuticals,3226,74,13100
685,ScanSource,Wholesalers,Wholesalers: Electronics and Office Equipment,3219,65,2000
686,TreeHouse Foods,"Food, Beverages & Tobacco",Food Consumer Products,3206,115,5880
687,Aleris,Materials,Metals,3206,49,5200
688,Groupon,Technology,Internet Services and Retailing,3187,21,9872
689,Aaron’s,Retailing,Specialty Retailers: Other,3180,136,12700
690,Joy Global,Industrials,Construction and Farm Machinery,3172,-1178,13400
691,Ryerson Holding,Materials,Metals,3167,-1,3600
692,Helmerich & Payne,Energy,"Oil and Gas Equipment, Services",3165,422,6733
693,HealthSouth,Health Care,Health Care: Medical Facilities,3163,183,27929
694,Vantiv,Business Services,Financial Data Services,3160,148,3313
695,Skechers U.S.A.,Apparel,Apparel,3159,232,6400
696,American Water Works,Energy,Miscellaneous,3159,476,6700
697,Iasis Healthcare,Health Care,Health Care: Medical Facilities,3158,-8,11950
698,Huntington Bancshares,Financials,Commercial Banks,3153,693,12243
699,Tempur Sealy International,Household Products,"Home Equipment, Furnishings",3151,74,7200
700,EchoStar,Technology,Network and Other Communications Equipment,3144,153,4400
701,CUNA Mutual Group,Financials,"Insurance: Life, Health (stock)",3135,217,3722
702,Brown-Forman,"Food, Beverages & Tobacco",Beverages,3134,684,4300
703,Noble Energy,Energy,"Mining, Crude-Oil Production",3133,-2441,2395
703,Noble Energy,Energy,"Mining, Crude-Oil Production",3133,-2441,2395
705,Regal Entertainment Group,Media,Entertainment,3127,153,25915
706,Consol Energy,Energy,"Mining, Crude-Oil Production",3114,-375,3114
707,Time,Media,"Publishing, Printing",3103,-881,7200
708,Varian Medical Systems,Health Care,Medical Products and Equipment,3099,412,7300
709,SkyWest,Transportation,Airlines,3096,118,18300
710,BGC Partners,Financials,Securities,3095,127,7841
711,Puget Energy,Energy,Utilities: Gas and Electric,3093,241,2800
712,H&R Block,Financials,Diversified Financials,3079,474,50400
713,Amerco,Transportation,"Trucking, Truck Leasing",3075,357,18415
714,Brink’s,Business Services,Diversified Outsourcing Services,3066,-12,59900
715,Oceaneering International,Energy,"Oil and Gas Equipment, Services",3063,231,11000
716,Steelcase,Household Products,"Home Equipment, Furnishings",3060,86,11550
717,W.R. Grace,Chemicals,Chemicals,3052,144,6700
718,Metaldyne Performance Group,Motor Vehicles & Parts,Motor Vehicles and Parts,3047,125,12000
719,KB Home,Engineering & Construction,Homebuilders,3032,85,1680
720,International Flavors & Fragrances,Chemicals,Chemicals,3023,419,6732
721,Genesco,Retailing,Specialty Retailers: Apparel,3022,95,18363
722,Scripps Networks Interactive,Media,Entertainment,3018,607,3500
723,American National Insurance,Financials,"Insurance: Life, Health (stock)",3018,243,4736
724,Scotts Miracle-Gro,Chemicals,Chemicals,3017,160,7900
725,Unisys,Technology,Information Technology Services,3015,-110,23000
726,Carter’s,Apparel,Apparel,3014,238,16800
727,NOW,Wholesalers,Wholesalers: Diversified,3010,-502,4850
728,Mercury General,Financials,Insurance: Property and Casualty (Stock),3009,75,4300
729,Iron Mountain,Business Services,Diversified Outsourcing Services,3008,123,20000
730,Carlyle Group,Financials,Securities,3006,-18,1700
731,Brinker International,"Hotels, Resturants & Leisure",Food Services,3002,197,53000
732,Northern Tier Energy,Energy,Petroleum Refining,3002,331,2961
733,LinkedIn,Technology,Internet Services and Retailing,2991,-166,9372
734,Service Corp. International,Business Services,Miscellaneous,2986,234,19720
735,Stericycle,Business Services,Waste Management,2986,267,25472
736,Sabre,Technology,Internet Services and Retailing,2986,546,9100
737,Graham Holdings,Business Services,Education,2984,-101,11585
738,Taylor Morrison Home,Engineering & Construction,Homebuilders,2977,61,1600
739,Cooper Tire & Rubber,Motor Vehicles & Parts,Motor Vehicles and Parts,2973,213,9119
740,Old Dominion Freight Line,Transportation,"Trucking, Truck Leasing",2972,305,17931
741,Warner Music Group,Media,Entertainment,2966,-91,4211
742,Green Plains,Energy,Energy,2966,7,995
743,Alpha Natural Resources,Energy,"Mining, Crude-Oil Production",2965,-5785,6700
744,Convergys,Business Services,Diversified Outsourcing Services,2951,169,130000
745,TECO Energy,Energy,Utilities: Gas and Electric,2944,174,3713
746,IMS Health Holdings,Health Care,Health Care: Pharmacy and Other Services,2921,417,15000
747,MSC Industrial Direct,Wholesalers,Wholesalers: Diversified,2910,231,6588
748,Systemax,Retailing,Specialty Retailers: Other,2908,-100,3300
749,Triple-S Management,Health Care,Health Care: Insurance and Managed Care,2903,52,3405
750,StanCorp Financial Group,Financials,"Insurance: Life, Health (stock)",2902,215,2767
751,Universal Forest Products,Materials,Forest and Paper Products,2887,81,7000
752,Gannett,Media,"Publishing, Printing",2885,146,18700
753,Amkor Technology,Technology,Semiconductors and Other Electronic Components,2885,57,26700
754,Linn Energy,Energy,"Mining, Crude-Oil Production",2883,-4760,1760
755,Sentry Insurance Group,Financials,Insurance: Property and Casualty (Mutual),2883,284,4169
756,Weis Markets,Food and Drug Stores,Food and Drug Stores,2877,59,19000
757,Timken,Industrials,Industrial Machinery,2872,-71,14709
758,Cabot,Chemicals,Chemicals,2871,-334,4600
759,Univision Communications,Media,Entertainment,2858,-45,3700
760,Keysight Technologies,Technology,"Scientific,Photographic and Control Equipment",2856,513,10250
761,Olin,Chemicals,Chemicals,2854,-1,6200
762,Cinemark Holdings,Media,Entertainment,2853,217,17649
763,Cracker Barrel Old Country Store,"Hotels, Resturants & Leisure",Food Services,2842,164,72000
764,Penn National Gaming,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",2838,1,18204
765,Comerica,Financials,Commercial Banks,2834,521,8818
766,AmSurg,Health Care,Health Care: Medical Facilities,2833,163,10700
767,DST Systems,Business Services,Financial Data Services,2825,358,13420
768,Legg Mason,Financials,Securities,2819,237,2982
769,KLA-Tencor,Technology,Semiconductors and Other Electronic Components,2814,366,5880
770,Sanderson Farms,"Food, Beverages & Tobacco",Food Production,2804,216,12264
771,PriceSmart,Retailing,Specialty Retailers: Other,2803,89,7592
772,Superior Energy Services,Energy,"Oil and Gas Equipment, Services",2793,-1855,8300
773,Bon-Ton Stores,Retailing,General Merchandisers,2790,-57,24100
774,KapStone Paper & Packaging,Materials,"Packaging, Containers",2789,106,6400
775,Mednax,Health Care,Health Care: Pharmacy and Other Services,2780,336,8645
776,Total System Services,Business Services,Financial Data Services,2780,364,10500
777,Global Payments,Business Services,Financial Data Services,2774,278,4438
778,Diebold,Technology,"Computers, Office Equipment",2768,74,16000
779,Scientific Games,"Hotels, Resturants & Leisure","Hotels, Casinos, Resorts",2759,-1394,8500
780,Applied Industrial Technologies,Wholesalers,Wholesalers: Diversified,2752,116,5839
781,Equity Residential,Financials,Real estate,2746,870,3500
782,Crane,Industrials,Industrial Machinery,2741,229,11200
783,Paychex,Business Services,Diversified Outsourcing Services,2740,675,13000
784,New Jersey Resources,Energy,Energy,2734,181,991
785,B/E Aerospace,Aerospace & Defense,Aerospace and Defense,2730,286,10057
786,Equinix,Telecommunications,Telecommunications,2726,188,5042
787,Monster Beverage,"Food, Beverages & Tobacco",Beverages,2723,547,1857
788,TransDigm Group,Aerospace & Defense,Aerospace and Defense,2707,447,8200
789,Acuity Brands,Industrials,"Electronics, Electrical Equip.",2707,222,7800
790,Hologic,Health Care,Medical Products and Equipment,2705,132,5290
791,TrueBlue,Business Services,Temporary Help,2696,71,5500
792,Broadridge Financial Solutions,Business Services,Financial Data Services,2694,287,7400
793,Verso,Materials,Forest and Paper Products,2692,-477,1630
794,Wolverine World Wide,Apparel,Apparel,2692,123,6550
795,Hain Celestial Group,"Food, Beverages & Tobacco",Food Consumer Products,2689,168,6307
796,Heartland Payment Systems,Business Services,Financial Data Services,2682,85,4272
797,Panera Bread,"Hotels, Resturants & Leisure",Food Services,2682,149,37200
798,Continental Resources,Energy,"Mining, Crude-Oil Production",2680,-354,1143
799,Dentsply Sirona,Health Care,Medical Products and Equipment,2674,251,11400
800,ArcBest,Transportation,"Trucking, Truck Leasing",2667,45,13000
801,Equifax,Business Services,Financial Data Services,2664,429,8000
802,WGL Holdings,Energy,Energy,2660,131,1529
